SplitWeight	Bootstrap	Color
0.07060404	100	Blue
0.04792795	100	Blue
0.042704593	100	Blue
0.030850368	100	Blue
0.023994952	100	Blue
0.02331487	100	Blue
0.012582252	100	Blue
0.007275392	97	Blue
0.0051821293	0	Pink
0.0036041164	99.2	Blue
0.0032304472	96.4	Blue
0.0026902487	0	Pink
0.0022065418	100	Blue
0.0019132489	81.3	Blue
0.001341845	0	Pink
0.0009478839	0	Pink
0.0008527216	3.2	Blue
0.0002126253	0	Pink
0.0001476501	0	Pink
0.015339644	100	Blue
0.0023547208	2.6	Blue
0.0014287664	0	Pink
0.0008373248	0	Pink
0.0006076867	2.6	Blue
0.0006041702	0	Pink
0.000297436	0	Pink
0.0002735536	0	Pink
5.794991E-05	0	Pink
3.466567E-05	12.1	Blue
1.5231282E-05	0	Pink
0.0012366334	41.9	Blue
0.0009923275	0	Pink
0.0009782094	0	Pink
0.0009185735	0	Pink
0.0007710702	54.9	Blue
0.0006963874	0	Pink
0.0006019617	10.4	Blue
0.0003462597	0	Pink
0.0089485	100	Blue
0.0020022863	0	Pink
0.0010558827	71	Blue
0.0004692516	0	Pink
0.0004601492	5.8	Blue
0.020771	100	Blue
0.0008540598	0	Pink
0.000244999	0	Pink
0.0009483108	0	Pink
0.0007954276	0	Pink
0.0003385545	47.9	Blue
0.0001838823	1.3	Blue
0.0012166464	55.1	Blue
0.0008818683	29	Blue
0.0002556656	0	Pink
0.000698773	0	Pink
0.0006747867	1.2	Blue
0.0006746581	44.1	Blue
0.0001867169	0	Pink
0.0008441487	0	Pink
0.00001	87.1	Green
0.00001	53.7	Green
0.00001	45.8	Green
0.00001	42.6	Green
0.00001	36.4	Green
0.00001	36.1	Green
0.00001	34.7	Green
0.00001	26.1	Green
0.00001	24.5	Green
0.00001	22.3	Green
0.00001	21	Green
0.00001	13.8	Green
0.00001	12.7	Green
0.00001	11	Green
0.00001	9.9	Green
0.00001	9.2	Green
0.00001	8.1	Green
0.00001	7.6	Green
0.00001	6.1	Green
0.00001	5.6	Green
0.00001	5.5	Green
0.00001	4.8	Green
0.00001	4.6	Green
0.00001	4.3	Green
0.00001	4.2	Green
0.00001	4.2	Green
0.00001	4.1	Green
0.00001	4	Green
0.00001	3.4	Green
0.00001	3.2	Green
0.00001	3.2	Green
0.00001	3	Green
0.00001	2.9	Green
0.00001	2.6	Green
0.00001	2.5	Green
0.00001	2.5	Green
0.00001	2.4	Green
0.00001	2.4	Green
0.00001	2.1	Green
0.00001	2.1	Green
0.00001	2	Green
0.00001	1.8	Green
0.00001	1.7	Green
0.00001	1.6	Green
0.00001	1.6	Green
0.00001	1.5	Green
0.00001	1.5	Green
0.00001	1.4	Green
0.00001	1.4	Green
0.00001	1.3	Green
0.00001	1.2	Green
0.00001	1.1	Green
0.00001	1.1	Green
0.00001	1	Green
0.00001	1	Green
0.00001	1	Green
